drug_id,drug_name,drug_common,indication_id,indication,category,weight_type,step_idx,step_name,route,preparation,concentration,concentration_unit,dose_text,weight_min,weight,min,max,dilution_volume,debit,administration,concentration_note,particularity,reference_snippet
40,Epinephrine,Adrenalin®,72,Cardiac arrest,Uncategorized,1,0,Bolus,IV push,q3-5min,0.1,mg/mL,1 mg (10 mL),40,0,0,0,0,0,Indication: cardiac arrest Use concentration 0.1mg/ mL,Caution: IV use in cardiac arrest,In cardiac arrest secondary to VF/VT: • Prioritize defibrillation over epinephrine. • Consider waiting after the second defibrillation before giving the first dose of epinephrine. • Consider a maximum dose of 3mg total in cases of refractory VF/VT.,"- Panchal AR, Berg KM, Hirsch KG, Kudenchuk PJ, Del Rios M, Cabañas JG, Link MS, Kurz MC, Chan PS, Morley PT, Hazinski MF, Donnino MW. 2019 American Heart Association Focused Update on Advanced Cardiovascular Life Support: Use of Advanced Airways, Vasopressors, and Extracorporeal Cardiopulmonary Res"
40,Epinephrine,Adrenalin®,321,Anaphylaxis,Uncategorized,1,0,IM,IM in the thigh,q 5 min PRN,1,mg/mL,,40,0.3,0,0,0,0,Indication: IM anaphylaxis Use concentration 1mg / mL  IM in the thigh < 1 min,Caution: IM use in anaphylaxis,"After three IM doses, evaluate the need for an epinephrine infusion.","- Shaker MS, Wallace DV, Golden DBK, Oppenheimer J, Bernstein JA, Campbell RL, Dinakar C, Ellis A, Greenhawt M, Khan DA, Lang DM, Lang ES, Lieberman JA, Portnoy J, Rank MA, Stukus DR, Wang J; Collaborators, Riblet N, Bobrownicki AMP, Bontrager T, Dusin J, Foley J, Frederick B, Fregene E, Hellerstedt"
40,Epinephrine,Adrenalin®,321,Anaphylaxis,Uncategorized,1,0,IM,IM in the thigh,q 5 min PRN,1,mg/mL,,40,0.5,0,0,0,0,Indication: IM anaphylaxis Use concentration 1mg / mL  IM in the thigh < 1 min,Caution: IM use in anaphylaxis,"After three IM doses, evaluate the need for an epinephrine infusion.","- Shaker MS, Wallace DV, Golden DBK, Oppenheimer J, Bernstein JA, Campbell RL, Dinakar C, Ellis A, Greenhawt M, Khan DA, Lang DM, Lang ES, Lieberman JA, Portnoy J, Rank MA, Stukus DR, Wang J; Collaborators, Riblet N, Bobrownicki AMP, Bontrager T, Dusin J, Foley J, Frederick B, Fregene E, Hellerstedt"
40,Epinephrine,Adrenalin®,321,Anaphylaxis,Uncategorized,1,1,Drip,,,1,mg/mL,,40,4;8,0,0,250,0,Presentation: ampoules of 1mL (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration: 15.7mcg/mL or 31mcg/mL 4) Start the infusion at 5-10mcg/min 5) Titrate by increments of 1-2mcg/min q3-5min as needed (t1/2 <5min) (expert opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability and severity of symptoms.,,"Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- Shaker MS, Wallace DV, Golden DBK, Oppenheimer J, Bernstein JA, Campbell RL, Dinakar C, Ellis A, Greenhawt M, Khan DA, Lang DM, Lang ES, Lieberman JA, Portnoy J, Rank MA, Stukus DR, Wang J; Collaborators, Riblet N, Bobrownicki AMP, Bontrager T, Dusin J, Foley J, Frederick B, Fregene E, Hellerstedt"
40,Epinephrine,Adrenalin®,321,Anaphylaxis,Uncategorized,1,1,Drip,,,1,mg/mL,,40,4;8,0,0,250,0,Presentation: ampoules of 1mL (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration: 15.7mcg/mL or 31mcg/mL 4) Start the infusion at 5-10mcg/min 5) Titrate by increments of 1-2mcg/min q3-5min as needed (t1/2 <5min) (expert opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability and severity of symptoms.,,"Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- Shaker MS, Wallace DV, Golden DBK, Oppenheimer J, Bernstein JA, Campbell RL, Dinakar C, Ellis A, Greenhawt M, Khan DA, Lang DM, Lang ES, Lieberman JA, Portnoy J, Rank MA, Stukus DR, Wang J; Collaborators, Riblet N, Bobrownicki AMP, Bontrager T, Dusin J, Foley J, Frederick B, Fregene E, Hellerstedt"
40,Epinephrine,Adrenalin®,322,Bradycardia,Uncategorized,2,0,,,,1,mg/mL,,40,4;8,0,35,250,0,Presentation: ampoules of 1ml (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration : 15.7mcg/mL or 31mcg/mL 4) Start infusion at the minimal dose of 0.01mcg/kg/min 5) Titrate by increments of 0.01-0.03mcg/kg/min q3-5min as needed (t1/2 <5min) (expert opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability.,,"The minimal dose of 0.01mcg/kg/min was chosen to limit the chance of overdosing this medication in the obese population. Adjust according to hemodynamic response. If no response at doses greater than 0.1mcg/kg/min, evaluate the need for an alternative therapy.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- Kusumoto FM, Schoenfeld MH, Barrett C, Edgerton JR, Ellenbogen KA, Gold MR, Goldschlager NF, Hamilton RM, Joglar JA, Kim RJ, Lee R, Marine JE, McLeod CJ, Oken KR, Patton KK, Pellegrini CN, Selzman KA, Thompson A, Varosy PD. 2018 ACC/AHA/HRS Guideline on the Evaluation and Management of Patients Wi"
40,Epinephrine,Adrenalin®,322,Bradycardia,Uncategorized,2,0,,,,1,mg/mL,,40,4;8,0,35,250,0,Presentation: ampoules of 1ml (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration : 15.7mcg/mL or 31mcg/mL 4) Start infusion at the minimal dose of 0.01mcg/kg/min 5) Titrate by increments of 0.01-0.03mcg/kg/min q3-5min as needed (t1/2 <5min) (expert opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability.,,"The minimal dose of 0.01mcg/kg/min was chosen to limit the chance of overdosing this medication in the obese population. Adjust according to hemodynamic response. If no response at doses greater than 0.1mcg/kg/min, evaluate the need for an alternative therapy.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- Kusumoto FM, Schoenfeld MH, Barrett C, Edgerton JR, Ellenbogen KA, Gold MR, Goldschlager NF, Hamilton RM, Joglar JA, Kim RJ, Lee R, Marine JE, McLeod CJ, Oken KR, Patton KK, Pellegrini CN, Selzman KA, Thompson A, Varosy PD. 2018 ACC/AHA/HRS Guideline on the Evaluation and Management of Patients Wi"
40,Epinephrine,Adrenalin®,323,Shock,Uncategorized,2,0,mcg/kg/min,,,1,mg/mL,,40,4;8;16;32,0,140,250,0,Presentation: ampoules of 1mL (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) or 16mg (16mL) or 32mg (32mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration: 15.7mcg/mL or 31mcg/mL or 60mcg/mL or 113mcg/mL 4) Start infusion at the minimal dose of 0.01mcg/kg/min 5) Titrate by increments of 0.01-0.03mcg/kg/min q3-5min as needed (t1/2 <5min) (expert Opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability.,,"The minimal dose of 0.01mcg/kg/min was chosen to limit the chance of overdosing this medication in the obese population. Adjust according to hemodynamic response.  There is no consensus in the literature on the maximum dose of epinephrine. The maximum dose is an editorial choice.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site. For higher concentrations (16mg and 32mg in 250mL), use central venous access.","- Mary Ann Peberdy et al. Part 9: Post–Cardiac Arrest Care. Circulation. 2010;122:S768-S786  - Sean van Diepen. Contemporary Management of Cardiogenic Shock: A Scientific Statement From the American Heart Association. Circulation. 2017;136:e232-e268  - Abboud I, Lerolle N, Urien S, et al. Pharmacoki"
40,Epinephrine,Adrenalin®,323,Shock,Uncategorized,2,0,mcg/kg/min,,,1,mg/mL,,40,4;8;16;32,0,140,250,0,Presentation: ampoules of 1mL (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) or 16mg (16mL) or 32mg (32mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration: 15.7mcg/mL or 31mcg/mL or 60mcg/mL or 113mcg/mL 4) Start infusion at the minimal dose of 0.01mcg/kg/min 5) Titrate by increments of 0.01-0.03mcg/kg/min q3-5min as needed (t1/2 <5min) (expert Opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability.,,"The minimal dose of 0.01mcg/kg/min was chosen to limit the chance of overdosing this medication in the obese population. Adjust according to hemodynamic response.  There is no consensus in the literature on the maximum dose of epinephrine. The maximum dose is an editorial choice.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site. For higher concentrations (16mg and 32mg in 250mL), use central venous access.","- Mary Ann Peberdy et al. Part 9: Post–Cardiac Arrest Care. Circulation. 2010;122:S768-S786  - Sean van Diepen. Contemporary Management of Cardiogenic Shock: A Scientific Statement From the American Heart Association. Circulation. 2017;136:e232-e268  - Abboud I, Lerolle N, Urien S, et al. Pharmacoki"
40,Epinephrine,Adrenalin®,323,Shock,Uncategorized,2,1,mcg/min,,,1,mg/mL,,40,4;8;16;32,0,0,250,0,"Presentation: ampoules of 1mL (1mg/mL) 1) Add 4mg (4mL) or 8mg (8mL) or 16mg (16mL) or 32mg (32mL) to 250mL of NS 2) Do NOT remove volume 3) Final concentration: 15.7mcg/mL or 31mcg/mL or 60mcg/mL or 113mcg/mL 4) Start infusion at the minimal dose of 1mcg/min 5) Titrate by increments of 1-3mcg/kg/min q3-5min as needed (t1/2 <5min) (expert Opinion)  N.B. Increase starting dose and titrate faster depending on degree of instability,",,"The minimal dose of 1mcg/min was chosen to limit the chance of overdosing this medication in smaller patients. Adjust according to hemodynamic response.  There is no consensus in the literature on the maximum dose of epinephrine. The maximum dose is an editorial choice.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site. For higher concentrations (16mg and 32mg in 250mL), use central venous access.","- Mary Ann Peberdy et al. Part 9: Post–Cardiac Arrest Care. Circulation. 2010;122:S768-S786  - Sean van Diepen. Contemporary Management of Cardiogenic Shock: A Scientific Statement From the American Heart Association. Circulation. 2017;136:e232-e268  - Abboud I, Lerolle N, Urien S, et al. Pharmacoki"
