drug_id,drug_name,drug_common,indication_id,indication,category,weight_type,step_idx,step_name,route,preparation,concentration,concentration_unit,dose_text,weight_min,weight,min,max,dilution_volume,debit,administration,concentration_note,particularity,reference_snippet
40,Epinephrine,Adrenalin®,69,Anaphylaxis (IM),Uncategorized,1,0,IM,IM in < 10 seconds,Administer IM undiluted in the thigh,1,mg/mL,,2,0,0,0.5,0,0,"Repeat IM injection every 5 minutes if needed x 2-3 doses then switch to the IV infusion if symptoms persist. If patient is unconscious and requiring assisted ventilation secondary to anaphylaxis, favor IV epinephrine - push dose epinephrine (See EZResus Pediatric).  Dose of 0.1 mg can be used for weights of 3-9 Kg if 1 mL syringe not available. Dose of 0.15 mg acceptable for patient <15 Kg if auto-injector is the only epinephrine available.",,Avoid 1:1000 nomenclature as it is associated with more medication errors.,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,871,Cardiac arrest,Uncategorized,1,0,,IV push,Administer IV undiluted,0.1,mg/mL,,2,0,0,1,0,0,Administer IV q3-5min PRN in cardiac arrest  Administer the 1st dose within the first 5 minutes of resuscitation then at every 2 rhythm analysis/pulse checks (q4min) to facilitate management.,,"Avoid 1:10,000 nomenclature as it is associated with more medication errors.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com  - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 23 edn: Lexi-Comp, Inc.; 2016.           - Giud"
40,Epinephrine,Adrenalin®,873,Push-Dose pressor,Uncategorized,1,0,,IV push q1-5min PRN,Administer IV DILUTED,10,mcg/mL,,2,0,0,20,0,0,Presentation: Pre-filled Syringe of Epinephrine 0.1 mg/mL (100 mcg/mL) 1) Withdraw 1 mL of Epinephrine 100 mcg/mL with a 10 mL syringe 2) Add 9 mL of NaCl 0.9% to the syringe 3) Final concentration = 100 mcg dans 10 mL = 10 mcg/mL 4) Draw the required dose using a syringe 5) Clearly identify syringes with the correct concentration 6) Administer IV push q1-5min PRN to a target blood pressure or heart rate,,"Y-site compatible with D5W, NaCl, LR.   Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Giudice M, Grégoire N, Massicotte A. Manuel sur la pharmacothérapie parentérale de l’Hôpital d’Ottawa. 4e ed. Ottawa (Canada): Hôpital d'Ottawa; 2019.     ﻿- ﻿Reiter PD, Roth J, Wa"
40,Epinephrine,Adrenalin®,1131,Nebulization,Uncategorized,1,0,,Nebulization every 20 min as needed x 3 doses and reassess,"Administer by nebulizer diluted up to 3-5 mL of NaCl 0,9%",1,mg/mL,2.5 mg (2.5 mL),2,0,0,0,0,0,• Administer if stridor • Do not use routinely in case of bronchiolitis or acute severe asthma,,Nil,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com  - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Gré"
40,Epinephrine,Adrenalin®,1131,Nebulization,Uncategorized,1,0,,Nebulization every 20 min as needed x 3 doses and reassess,"Administer by nebulizer diluted up to 3-5 mL of NaCl 0,9%",1,mg/mL,5 mg (5 mL),5,0,0,0,0,0,• Administer if stridor • Do not use routinely in case of bronchiolitis or acute severe asthma,,Nil,"- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com  - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Gré"
40,Epinephrine,Adrenalin®,2922,Acute severe asthma,Uncategorized,1,0,Infusion (Pump),,,1,mg/mL,,0,0.8;1;2,0,140,50,0,"Caution: Several concentrations at 16, 20 and 40 mcg/mL pending standardization according to ASHP standards.  Use if IV salbutamol is not available or if the patient remains symptomatic despite high dose of IV salbutamol.   Suggested titration: 1) Start infusion at 0.02-0.1 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Additional information: Do NOT remove volume during preparation. • Rinse the tubing with the infusion before administration. • Use the lowest concentration if a peripheral venous access is used.",,"Y-site compatible with D5W, NaCl, LR, MgSO4. Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2922,Acute severe asthma,Uncategorized,1,0,Infusion (Pump),,,1,mg/mL,,0,0.8;1;2,0,140,50,0,"Caution: Several concentrations at 16, 20 and 40 mcg/mL pending standardization according to ASHP standards.  Use if IV salbutamol is not available or if the patient remains symptomatic despite high dose of IV salbutamol.   Suggested titration: 1) Start infusion at 0.02-0.1 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Additional information: Do NOT remove volume during preparation. • Rinse the tubing with the infusion before administration. • Use the lowest concentration if a peripheral venous access is used.",,"Y-site compatible with D5W, NaCl, LR, MgSO4. Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2922,Acute severe asthma,Uncategorized,1,1,Infusion (Syringe pump),,,1,mg/mL,,0,16;20;40,0,140,50,0,"Caution: Several concentrations at 16, 20 and 40 mcg/mL pending standardization according to ASHP standards.  Use if IV salbutamol is not available or if the patient remains symptomatic despite high dose of IV salbutamol.   Suggested titration: 1) Start infusion at 0.02-0.1 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Additional information: • Rinse the tubing with the infusion before administration. • Use the lowest concentration if a peripheral venous access is used.",,"Y-site compatible with D5W, NaCl, LR, MgSO4. Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2922,Acute severe asthma,Uncategorized,1,1,Infusion (Syringe pump),,,1,mg/mL,,0,16;20;40,0,140,50,0,"Caution: Several concentrations at 16, 20 and 40 mcg/mL pending standardization according to ASHP standards.  Use if IV salbutamol is not available or if the patient remains symptomatic despite high dose of IV salbutamol.   Suggested titration: 1) Start infusion at 0.02-0.1 mcg/kg/min. 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Additional information: • Rinse the tubing with the infusion before administration. • Use the lowest concentration if a peripheral venous access is used.",,"Y-site compatible with D5W, NaCl, LR, MgSO4. Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
40,Epinephrine,Adrenalin®,2923,Anaphylaxis,Uncategorized,1,0,Infusion (Pump),,,1,mg/mL,,0,0.8;1;2,0,10,50,0,"Caution: Several concentrations at 16, 20 and 40 mcg/mL pending standardization according to ASHP standards.  Suggested titration: 1) Start infusion at 0.1 mcg/kg/min 2) Titrate by increments of 0.01-0.02 mcg/kg/min q5min depending on clinical response. (Expert Opinion)  Additional information: • Do NOT remove volume during preparation. • Rinse the tubing with the infusion before administration. • Use the lowest concentration if a peripheral venous access is used.",,"Y-site compatible with D5W, NaCl, LR.  Avoid 1:1000 nomenclature as it is associated with more medication errors.  Although the preferred route of administration of vasopressors is via central venous access, multiple studies demonstrate that administration via a good quality peripheral access is safe if used for a short period of time and with frequent verifications of the access site.","- UpToDate [Internet]. Waltham, MA.: Lexicomp Inc.; Available: www.uptodate.com. - Micromedex Healthcare Series [Internet]. Greenwood Village, Colo: Thomson Micromedex; Available: www.micromedex.com - Taketomo CK: Pediatric & Neonatal Dosage Handbook, 28 edn: Lexi-Comp, Inc.; 2021. - Giudice M, Grég"
